initE_pop,b1_pop,betaw1_pop,betaw2_pop,betaw3_pop,betaw4_pop,Dq_pop,omega_initE,omega_betaw1,omega_betaw2,omega_betaw3,omega_betaw4
52492,-0.024217,-0.14406,0.023985,0.020287,0.0080923,0.0086161,-0.5198,0.011116,-0.018377,-0.0037458,0.011735
-0.024217,1.4253E-05,-9.9961E-06,-4.3221E-06,-8.871E-06,-5.639E-06,8.9619E-06,2.4717E-05,2.1791E-06,3.2764E-06,-5.0573E-07,-1.6021E-06
-0.14406,-9.9961E-06,0.0035123,-7.868E-05,2.9431E-05,2.0826E-06,-9.3316E-06,0.00017635,-5.4264E-05,8.2121E-06,-6.6855E-06,-3.2689E-06
0.023985,-4.3221E-06,-7.868E-05,0.0028009,-0.00020096,1.3352E-05,1.2586E-05,8.8194E-07,5.5678E-06,9.9759E-06,2.6601E-05,-3.3137E-06
0.020287,-8.871E-06,2.9431E-05,-0.00020096,0.0028079,-8.4209E-05,-1.6145E-05,-3.8776E-05,-6.8661E-06,1.0611E-05,-0.00011351,4.1669E-05
0.0080923,-5.639E-06,2.0826E-06,1.3352E-05,-8.4209E-05,0.00024195,-4.5884E-06,-8.0901E-06,4.9992E-06,-5.6728E-06,1.3747E-05,-3.0726E-05
0.0086161,8.9619E-06,-9.3316E-06,1.2586E-05,-1.6145E-05,-4.5884E-06,0.00013265,2.6533E-06,1.7265E-07,-1.9664E-06,2.2284E-06,1.6227E-06
-0.5198,2.4717E-05,0.00017635,8.8194E-07,-3.8776E-05,-8.0901E-06,2.6533E-06,0.061081,-0.00014952,9.6627E-06,2.642E-05,-8.057E-06
0.011116,2.1791E-06,-5.4264E-05,5.5678E-06,-6.8661E-06,4.9992E-06,1.7265E-07,-0.00014952,0.0018117,-1.5292E-05,-3.7364E-06,-8.9756E-06
-0.018377,3.2764E-06,8.2121E-06,9.9759E-06,1.0611E-05,-5.6728E-06,-1.9664E-06,9.6627E-06,-1.5292E-05,0.0014341,-5.0646E-06,4.5825E-06
-0.0037458,-5.0573E-07,-6.6855E-06,2.6601E-05,-0.00011351,1.3747E-05,2.2284E-06,2.642E-05,-3.7364E-06,-5.0646E-06,0.0016984,-9.4352E-08
0.011735,-1.6021E-06,-3.2689E-06,-3.3137E-06,4.1669E-05,-3.0726E-05,1.6227E-06,-8.057E-06,-8.9756E-06,4.5825E-06,-9.4352E-08,0.00014618
