id,initE_mean,b1_mean,betaw1_mean,betaw2_mean,betaw3_mean,betaw4_mean,Dq_mean,initE_mode,b1_mode,betaw1_mode,betaw2_mode,betaw3_mode,betaw4_mode,Dq_mode,initE_sd,b1_sd,betaw1_sd,betaw2_sd,betaw3_sd,betaw4_sd,Dq_sd,r_sent,popsize,ICUcapacity,I0_kalman_mean,H0_kalman_mean,old_ICUcapacity
AURA,1319.86,2.23261,-0.194937,-0.56852,-1.52038,-1.40521,0.362046,1321.63,2.23261,-0.195174,-0.571588,-1.51054,-1.40615,0.362046,43.5732,0,0.0265453,0.0282278,0.0481747,0.0137704,0,0.025958432202179,8032377,1745,4,9,559
BFC,721.091,2.23261,-0.176996,-0.968068,-1.2971,-1.41862,0.362046,727.582,2.23261,-0.184268,-0.957994,-1.30405,-1.4166,0.362046,39.4186,0,0.0367702,0.0537557,0.0646506,0.0197902,0,0.070075930838899,2783039,749,4,2,198
Bretagne,77.1058,2.23261,-0.718741,-0.729683,-1.24583,-1.49369,0.362046,79.9518,2.23261,-0.723584,-0.730916,-1.23688,-1.49394,0.362046,17.4274,0,0.0660625,0.0659702,0.0823561,0.0285548,0,0.018274502260267,3340379,735,5,5,162
Centre,304.669,2.23261,0.0768062,-0.423005,-1.19552,-1.40817,0.362046,306.271,2.23261,0.0731732,-0.418873,-1.19235,-1.40992,0.362046,29.2647,0,0.0482594,0.0500933,0.0705815,0.0212211,0,0.028274000771109,2559073,690,1,4,180
GrandEst,4321.55,2.23261,-0.335685,-0.894887,-1.55625,-1.34282,0.362046,4314.61,2.23261,-0.335021,-0.894328,-1.55288,-1.3432,0.362046,73.7283,0,0.0166709,0.0284943,0.0433834,0.011223,0,0.051362363127069,5511747,2229,6,24,465
HDF,872.993,2.23261,-0.211408,-0.610757,-1.20722,-1.41369,0.362046,868.644,2.23261,-0.204883,-0.619929,-1.19151,-1.41666,0.362046,40.8661,0,0.0302421,0.0317904,0.0510016,0.014066,0,0.017936282297851,5962662,1512,4,4,438
IDF,5019.53,2.23261,-0.118333,-0.497474,-1.37006,-1.46233,0.362046,5004.27,2.23261,-0.113538,-0.503819,-1.3625,-1.46295,0.362046,100.38,0,0.0146029,0.0154915,0.027882,0.00819201,0,0.043101076997948,12278210,2888,16,4,1147
Normandie,1364.25,2.23261,-0.0734709,-0.708491,-1.50484,-1.43984,0.362046,1356.87,2.23261,-0.0675066,-0.714208,-1.49642,-1.43874,0.362046,87.0054,0,0.0457288,0.0565712,0.0822468,0.0256328,0,0.020382084211871,3303500,921,4,8,240
NouvAq,391.748,2.23261,0.0737535,-0.876031,-1.35728,-1.50241,0.362046,396.918,2.23261,0.0677422,-0.875345,-1.34336,-1.50376,0.362046,36.2966,0,0.048104,0.0641094,0.0847353,0.0247976,0,0.03235843186061,5999982,1517,2,1,412
Occitanie,349.951,2.23261,-0.139935,-0.749189,-1.63179,-1.46503,0.362046,353.139,2.23261,-0.147248,-0.740855,-1.6337,-1.46466,0.362046,29.0438,0,0.0387882,0.0519075,0.0934114,0.0233137,0,0.026243178613036,5924858,1590,3,3,474
PaysLoire,135.244,2.23261,-0.03247,-0.443275,-1.45105,-1.43708,0.362046,138.289,2.23261,-0.0383596,-0.44124,-1.44419,-1.43919,0.362046,28.475,0,0.0565675,0.0546767,0.0842073,0.02322,0,0.009387621438708,3801797,654,3,2,181
ProvAlp,623.657,2.23261,-0.200221,-0.748834,-1.16012,-1.37922,0.362046,623.777,2.23261,-0.198427,-0.754465,-1.14988,-1.38085,0.362046,39.2322,0,0.0320425,0.0407851,0.0538452,0.0169848,0,0.053534730785039,5055651,1359,4,2,460
